libraryPageTitle,sourceUrl,targetUrl,collectionPageTitle,section
jobs at the wellcome library,wellcomelibrary.org/what-we-do/jobs-at-wellcome-library/,https://wellcome.org/jobs,WT jobs,Remaining
sandbox,wellcomelibrary.org/what-we-do/sandbox/,https://developers.wellcomecollection.org/,Wellcome Collection Developers,Remaining
wellcome weather,wellcomelibrary.org/what-we-do/sandbox/wellcome-weather/,https://developers.wellcomecollection.org/,Wellcome Collection Developers,Remaining
events,wellcomelibrary.org/events/,https://wellcomecollection.org/whats-on,What's On section,Remaining
past events,wellcomelibrary.org/events/past-events/,https://wellcomecollection.org/whats-on,What's On section,Remaining
disclaimer,wellcomelibrary.org/about-this-site/disclaimer/,https://wellcome.org/who-we-are/governance/privacy-and-terms,Privacy link at the bottom of each page,Remaining
feedback,wellcomelibrary.org/about-this-site/feedback,https://developers.wellcomecollection.org/,Wellcome Collection Developers,Remaining
privacy,wellcomelibrary.org/about-this-site/privacy/,https://wellcome.org/who-we-are/governance/privacy-and-terms,Privacy link at the bottom of each page,Remaining
What we do,wellcomelibrary.org/what-we-do/,https://wellcomecollection.org/collections,Collections section,Remaining
digitisation at the wellcome library,wellcomelibrary.org/what-we-do/digitisation/,https://wellcomecollection.org/collections,Collections section,Remaining
digitisation schedules,wellcomelibrary.org/what-we-do/digitisation/digitisation-schedules/,https://wellcomecollection.org/collections,Collections section,Remaining
developing and caring for our collections,wellcomelibrary.org/what-we-do/developing-and-caring-for-our-collections/,https://wellcomecollection.org/collections,Collections section,Remaining
donating material,wellcomelibrary.org/what-we-do/developing-and-caring-for-our-collections/donating-material/,https://wellcomecollection.org/pages/YFiLgBAAACoAKF7b,Collections donations and offers,Remaining
digital curation,wellcomelibrary.org/what-we-do/developing-and-caring-for-our-collections/digital-curation/,https://wellcomecollection.org/collections,Collections section,Remaining
donating your digital archives,wellcomelibrary.org/what-we-do/developing-and-caring-for-our-collections/digital-curation/donating-digital-archives/,https://wellcomecollection.org/pages/YFiLgBAAACoAKF7b,Collections donations and offers,Remaining
resources on digital curation,wellcomelibrary.org/what-we-do/developing-and-caring-for-our-collections/digital-curation/resources-on-digital-curation/,https://wellcomecollection.org/collections,Collections section,Remaining
collecting genomics,wellcomelibrary.org/what-we-do/developing-and-caring-for-our-collections/collecting-genomics/,https://wellcomecollection.org/collections,Collections section,Remaining
collection care,wellcomelibrary.org/what-we-do/developing-and-caring-for-our-collections/collection-care/,https://wellcomecollection.org/collections,Collections section,Remaining
history of wellcome library,wellcomelibrary.org/what-we-do/history-of-wellcome-library/,https://wellcomecollection.org/pages/YE99nRAAACMAb7YE,What's in the Collection?,Remaining
researching henry wellcome and his work,wellcomelibrary.org/what-we-do/history-of-wellcome-library/researching-wellcome-work/,https://wellcomecollection.org/pages/YE99nRAAACMAb7YE,What's in the Collection?,Remaining
